cylinders,displ,drive
4.0,2.0,Rear-Wheel Drive
12.0,4.9,Rear-Wheel Drive
4.0,2.2,Front-Wheel Drive
8.0,5.2,Rear-Wheel Drive
4.0,2.2,4-Wheel or All-Wheel Drive
4.0,1.8,Front-Wheel Drive
4.0,1.6,Front-Wheel Drive
4.0,2.0,Front-Wheel Drive
4.0,2.3,Rear-Wheel Drive
6.0,2.8,Front-Wheel Drive
8.0,4.0,Rear-Wheel Drive
12.0,5.0,Rear-Wheel Drive
6.0,3.3,Front-Wheel Drive
6.0,3.1,Front-Wheel Drive
6.0,3.8,Front-Wheel Drive
8.0,4.6,Front-Wheel Drive
8.0,4.9,Front-Wheel Drive
6.0,3.4,Front-Wheel Drive
6.0,3.0,Front-Wheel Drive
8.0,5.9,Rear-Wheel Drive
4.0,2.5,Front-Wheel Drive
6.0,3.8,Rear-Wheel Drive
8.0,5.0,Rear-Wheel Drive
8.0,4.5,Rear-Wheel Drive
6.0,2.5,Front-Wheel Drive
6.0,3.0,Rear-Wheel Drive
6.0,4.9,Rear-Wheel Drive
8.0,6.8,Rear-Wheel Drive
5.0,2.4,Front-Wheel Drive
6.0,2.9,Rear-Wheel Drive
8.0,5.7,Rear-Wheel Drive
6.0,4.3,Rear-Wheel Drive
6.0,3.5,Front-Wheel Drive
8.0,5.8,Rear-Wheel Drive
8.0,4.6,Rear-Wheel Drive
6.0,3.5,Rear-Wheel Drive
6.0,3.2,Rear-Wheel Drive
8.0,4.2,Rear-Wheel Drive
4.0,2.3,Front-Wheel Drive
6.0,2.8,4-Wheel or All-Wheel Drive
6.0,2.5,Rear-Wheel Drive
4.0,1.9,Front-Wheel Drive
4.0,1.8,4-Wheel or All-Wheel Drive
4.0,2.4,4-Wheel or All-Wheel Drive
4.0,2.4,Front-Wheel Drive
8.0,6.2,Rear-Wheel Drive
4.0,2.5,Rear-Wheel Drive
6.0,2.8,Rear-Wheel Drive
4.0,2.4,Rear-Wheel Drive
4.0,2.6,Rear-Wheel Drive
8.0,7.4,Rear-Wheel Drive
6.0,3.9,Rear-Wheel Drive
4.0,2.5,4-Wheel or All-Wheel Drive
6.0,4.0,4-Wheel or All-Wheel Drive
6.0,4.0,Rear-Wheel Drive
4.0,1.5,Front-Wheel Drive
4.0,1.9,Rear-Wheel Drive
4.0,2.2,Rear-Wheel Drive
6.0,4.3,4-Wheel or All-Wheel Drive
